check,status,subject,detail
event_roster_name,pass,PL-2000-021,event=保山市 roster=保山市
entity_reference,pass,PL-2000-022,CNUR-000112
automatic_continuity,pass,PL-2000-022,type=upgrade automatic=True
event_roster_name,pass,PL-2000-022,event=亳州市 roster=亳州市
entity_reference,pass,PL-2000-023,CNUR-000180
automatic_continuity,pass,PL-2000-023,type=upgrade automatic=True
event_roster_name,pass,PL-2000-023,event=随州市 roster=随州市
entity_reference,pass,PL-2000-024,CNUR-000081
automatic_continuity,pass,PL-2000-024,type=rename automatic=True
event_roster_name,pass,PL-2000-024,event=淮安市 roster=淮安市
entity_reference,pass,PL-2001-001,CNUR-000270
automatic_continuity,pass,PL-2001-001,type=upgrade automatic=True
event_roster_name,pass,PL-2001-001,event=昭通市 roster=昭通市
entity_reference,pass,PL-2001-002,CNUR-000030
automatic_continuity,pass,PL-2001-002,type=upgrade automatic=True
event_roster_name,pass,PL-2001-002,event=鄂尔多斯市 roster=鄂尔多斯市
entity_reference,pass,PL-2001-003,CNUR-000304
automatic_continuity,pass,PL-2001-003,type=upgrade automatic=True
event_roster_name,pass,PL-2001-003,event=武威市 roster=武威市
entity_reference,pass,PL-2001-004,CNUR-000324
automatic_continuity,pass,PL-2001-004,type=upgrade automatic=True
event_roster_name,pass,PL-2001-004,event=固原市 roster=固原市
entity_reference,pass,PL-2001-005,CNUR-000298
automatic_continuity,pass,PL-2001-005,type=upgrade automatic=True
event_roster_name,pass,PL-2001-005,event=商洛市 roster=商洛市
entity_reference,pass,PL-2001-006,CNUR-000031
automatic_continuity,pass,PL-2001-006,type=upgrade automatic=True
event_roster_name,pass,PL-2001-006,event=呼伦贝尔市 roster=呼伦贝尔市
entity_reference,pass,PL-2001-007,CNUR-000338
automatic_continuity,pass,PL-2001-007,type=abolish automatic=False
entity_reference,pass,PL-2002-001,CNUR-000305
automatic_continuity,pass,PL-2002-001,type=upgrade automatic=True
event_roster_name,pass,PL-2002-001,event=张掖市 roster=张掖市
entity_reference,pass,PL-2002-002,CNUR-000226
automatic_continuity,pass,PL-2002-002,type=upgrade automatic=True
event_roster_name,pass,PL-2002-002,event=百色市 roster=百色市
entity_reference,pass,PL-2002-003,CNUR-000306
automatic_continuity,pass,PL-2002-003,type=upgrade automatic=True
event_roster_name,pass,PL-2002-003,event=平凉市 roster=平凉市
entity_reference,pass,PL-2002-004,CNUR-000227
automatic_continuity,pass,PL-2002-004,type=upgrade automatic=True
event_roster_name,pass,PL-2002-004,event=贺州市 roster=贺州市
entity_reference,pass,PL-2002-005,CNUR-000228
automatic_continuity,pass,PL-2002-005,type=upgrade automatic=True
event_roster_name,pass,PL-2002-005,event=河池市 roster=河池市
entity_reference,pass,PL-2002-006,CNUR-000307
automatic_continuity,pass,PL-2002-006,type=upgrade automatic=True
event_roster_name,pass,PL-2002-006,event=酒泉市 roster=酒泉市
entity_reference,pass,PL-2002-007,CNUR-000308
automatic_continuity,pass,PL-2002-007,type=upgrade automatic=True
event_roster_name,pass,PL-2002-007,event=庆阳市 roster=庆阳市
entity_reference,pass,PL-2002-008,CNUR-000229
automatic_continuity,pass,PL-2002-008,type=upgrade automatic=True
event_roster_name,pass,PL-2002-008,event=来宾市 roster=来宾市
entity_reference,pass,PL-2002-009,CNUR-000230
automatic_continuity,pass,PL-2002-009,type=upgrade automatic=True
event_roster_name,pass,PL-2002-009,event=崇左市 roster=崇左市
entity_reference,pass,PL-2002-010,CNUR-000271
automatic_continuity,pass,PL-2002-010,type=upgrade automatic=True
event_roster_name,pass,PL-2002-010,event=丽江市 roster=丽江市
entity_reference,pass,PL-2003-001,CNUR-000309
automatic_continuity,pass,PL-2003-001,type=upgrade automatic=True
event_roster_name,pass,PL-2003-001,event=定西市 roster=定西市
entity_reference,pass,PL-2003-002,CNUR-000024
automatic_continuity,pass,PL-2003-002,type=upgrade automatic=True
event_roster_name,pass,PL-2003-002,event=吕梁市 roster=吕梁市
entity_reference,pass,PL-2003-003,CNUR-000272
automatic_continuity,pass,PL-2003-003,type=upgrade automatic=True
event_roster_name,pass,PL-2003-003,event=思茅市 roster=思茅市
entity_reference,pass,PL-2003-004,CNUR-000032
automatic_continuity,pass,PL-2003-004,type=upgrade automatic=True
event_roster_name,pass,PL-2003-004,event=巴彦淖尔市 roster=巴彦淖尔市
entity_reference,pass,PL-2003-005,CNUR-000033
automatic_continuity,pass,PL-2003-005,type=upgrade automatic=True
event_roster_name,pass,PL-2003-005,event=乌兰察布市 roster=乌兰察布市
entity_reference,pass,PL-2003-006,CNUR-000325
automatic_continuity,pass,PL-2003-006,type=establish automatic=False
event_roster_name,pass,PL-2003-006,event=中卫市 roster=中卫市
entity_reference,pass,PL-2004-001,CNUR-000310
automatic_continuity,pass,PL-2004-001,type=upgrade automatic=True
event_roster_name,pass,PL-2004-001,event=陇南市 roster=陇南市
entity_reference,pass,PL-2007-001,CNUR-000272
automatic_continuity,pass,PL-2007-001,type=rename automatic=True
event_roster_name,pass,PL-2007-001,event=普洱市 roster=普洱市
entity_reference,pass,PL-2010-001,CNUR-000173
automatic_continuity,pass,PL-2010-001,type=rename automatic=True
event_roster_name,pass,PL-2010-001,event=襄阳市 roster=襄阳市
entity_reference,pass,PL-2011-001,CNUR-000110
automatic_continuity,pass,PL-2011-001,type=split automatic=False
entity_reference,pass,PL-2011-002,CNUR-000261
automatic_continuity,pass,PL-2011-002,type=upgrade automatic=True
event_roster_name,pass,PL-2011-002,event=毕节市 roster=毕节市
entity_reference,pass,PL-2011-003,CNUR-000262
automatic_continuity,pass,PL-2011-003,type=upgrade automatic=True
event_roster_name,pass,PL-2011-003,event=铜仁市 roster=铜仁市
entity_reference,pass,PL-2012-001,CNUR-000233
automatic_continuity,pass,PL-2012-001,type=establish automatic=False
event_roster_name,pass,PL-2012-001,event=三沙市 roster=三沙市
entity_reference,pass,PL-2013-001,CNUR-000314
automatic_continuity,pass,PL-2013-001,type=upgrade automatic=True
event_roster_name,pass,PL-2013-001,event=海东市 roster=海东市
entity_reference,pass,PL-2014-001,CNUR-000283
automatic_continuity,pass,PL-2014-001,type=upgrade automatic=True
event_roster_name,pass,PL-2014-001,event=日喀则市 roster=日喀则市
entity_reference,pass,PL-2015-001,CNUR-000234
automatic_continuity,pass,PL-2015-001,type=upgrade automatic=True
event_roster_name,pass,PL-2015-001,event=儋州市 roster=儋州市
entity_reference,pass,PL-2015-002,CNUR-000285
automatic_continuity,pass,PL-2015-002,type=upgrade automatic=True
event_roster_name,pass,PL-2015-002,event=林芝市 roster=林芝市
entity_reference,pass,PL-2015-003,CNUR-000328
automatic_continuity,pass,PL-2015-003,type=upgrade automatic=True
event_roster_name,pass,PL-2015-003,event=吐鲁番市 roster=吐鲁番市
entity_reference,pass,PL-2016-001,CNUR-000286
automatic_continuity,pass,PL-2016-001,type=upgrade automatic=True
event_roster_name,pass,PL-2016-001,event=山南市 roster=山南市
entity_reference,pass,PL-2016-002,CNUR-000329
automatic_continuity,pass,PL-2016-002,type=upgrade automatic=True
event_roster_name,pass,PL-2016-002,event=哈密市 roster=哈密市
entity_reference,pass,PL-2017-001,CNUR-000287
automatic_continuity,pass,PL-2017-001,type=upgrade automatic=True
event_roster_name,pass,PL-2017-001,event=那曲市 roster=那曲市
entity_reference,pass,PL-2018-001,CNUR-000146
automatic_continuity,pass,PL-2018-001,type=merge automatic=False
chronological_order,pass,CNUR-000106,1987
chronological_order,pass,CNUR-000095,1987
chronological_order,pass,CNUR-000341,1987
chronological_order,pass,CNUR-000238,1987
chronological_order,pass,CNUR-000254,1987
chronological_order,pass,CNUR-000012,1988
chronological_order,pass,CNUR-000019,1988
chronological_order,pass,CNUR-000188,1988
chronological_order,pass,CNUR-000205,1988
chronological_order,pass,CNUR-000206,1988
chronological_order,pass,CNUR-000208,1988
chronological_order,pass,CNUR-000209,1988
chronological_order,pass,CNUR-000207,1988
chronological_order,pass,CNUR-000210,1988
chronological_order,pass,CNUR-000211,1988
chronological_order,pass,CNUR-000105,1988
chronological_order,pass,CNUR-000113,"1988,2000"
name_chain,pass,CNUR-000121,WIKI-1988-018:南平地区 -> WIKI-1994-033:南平地区
chronological_order,pass,CNUR-000121,"1988,1994"
chronological_order,pass,CNUR-000107,1992
chronological_order,pass,CNUR-000342,1992
chronological_order,pass,CNUR-000172,1992
chronological_order,pass,CNUR-000057,1992
name_chain,pass,CNUR-000150,WIKI-1992-023:滨州地区 -> PL-2000-006:滨州地区
chronological_order,pass,CNUR-000150,"1992,2000"
chronological_order,pass,CNUR-000058,1993
chronological_order,pass,CNUR-000070,1993
chronological_order,pass,CNUR-000176,1993
chronological_order,pass,CNUR-000246,1993
chronological_order,pass,CNUR-000003,1993
chronological_order,pass,CNUR-000343,1993
chronological_order,pass,CNUR-000222,1993
chronological_order,pass,CNUR-000181,1993
chronological_order,pass,CNUR-000096,1994
chronological_order,pass,CNUR-000147,1994
chronological_order,pass,CNUR-000148,1994
chronological_order,pass,CNUR-000164,1994
chronological_order,pass,CNUR-000190,1994
chronological_order,pass,CNUR-000191,1994
chronological_order,pass,CNUR-000223,1994
chronological_order,pass,CNUR-000293,1994
chronological_order,pass,CNUR-000171,1994
name_chain,pass,CNUR-000177,WIKI-1994-042:荆沙市 -> WIKI-1996-055:荆沙市
