entity_id,legacy_entity_id,canonical_name_zh,entity_scope,province_name_zh,province_short_zh,entity_type,first_active_year,last_active_year,status_in_2026,verification_status,name_history,event_count,successor_summary,primary_source_url
CNUR-000148,E371400,德州市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1993 德州地区; 1994-2026 德州市,1,,
CNUR-000149,E371500,聊城市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1996 聊城地区; 1997-2026 聊城市,1,,
CNUR-000150,E371600,滨州市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1991 惠民地区; 1992-1999 滨州地区; 2000-2026 滨州市,2,,
CNUR-000151,E371700,菏泽市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 菏泽地区; 2000-2026 菏泽市,1,,
CNUR-000152,E410100,郑州市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 郑州市,0,,
CNUR-000153,E410200,开封市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 开封市,0,,
CNUR-000154,E410300,洛阳市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 洛阳市,0,,
CNUR-000155,E410400,平顶山市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 平顶山市,0,,
CNUR-000156,E410500,安阳市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 安阳市,0,,
CNUR-000157,E410600,鹤壁市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 鹤壁市,0,,
CNUR-000158,E410700,新乡市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 新乡市,0,,
CNUR-000159,E410800,焦作市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 焦作市,0,,
CNUR-000160,E410900,濮阳市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 濮阳市,0,,
CNUR-000161,E411000,许昌市,current_panel_entity,河南省,河南,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 许昌市,0,,
