entity_id,name,start_year,end_year
E632700,玉树藏族自治州,2000,2024
E632800,海西蒙古族藏族自治州,2000,2024
E640100,银川市,2000,2024
E640200,石嘴山市,2000,2024
E640300,吴忠市,2000,2024
E640400,固原地区,2000,2000
E640400,固原市,2001,2024
E640500,中卫市,2000,2024
E650100,乌鲁木齐市,2000,2024
E650200,克拉玛依市,2000,2024
E650400,吐鲁番地区,2000,2014
E650400,吐鲁番市,2015,2024
E650500,哈密地区,2000,2015
E650500,哈密市,2016,2024
E652300,昌吉回族自治州,2000,2024
E652700,博尔塔拉蒙古自治州,2000,2024
E652800,巴音郭楞蒙古自治州,2000,2024
E652900,阿克苏地区,2000,2024
E653000,克孜勒苏柯尔克孜自治州,2000,2024
E653100,喀什地区,2000,2024
E653200,和田地区,2000,2024
E654000,伊犁哈萨克自治州,2000,2024
E654100,伊犁地区,2000,2024
E654200,塔城地区,2000,2024
E654300,阿勒泰地区,2000,2024
