entity_id,canonical_name_zh,entity_level,id_namespace,verification_status
E441600,河源市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E441700,阳江市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E441800,清远市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E441900,东莞市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E442000,中山市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E445100,潮州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E445200,揭阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E445300,云浮市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E450100,南宁市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E450200,柳州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E450300,桂林市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E450400,梧州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E450500,北海市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E450600,防城港市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E450700,钦州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E450800,贵港市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E450900,玉林市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E451000,百色市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E451100,贺州市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E451200,河池市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E451300,来宾市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E451400,崇左市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E460100,海口市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E460200,三亚市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E460300,三沙市,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_verified
E460400,儋州市,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_verified
E500100,重庆市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E510100,成都市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E510300,自贡市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E510400,攀枝花市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E510500,泸州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E510600,德阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E510700,绵阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E510800,广元市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E510900,遂宁市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E511000,内江市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E511100,乐山市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E511300,南充市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E511400,眉山市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E511500,宜宾市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E511600,广安市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E511700,达州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E511800,雅安市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E511900,巴中市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E512000,资阳市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E513200,阿坝藏族羌族自治州,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E513300,甘孜藏族自治州,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E513400,凉山彝族自治州,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E520100,贵阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E520200,六盘水市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E520300,遵义市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E520400,安顺市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
