prefecture_entity_id,prefecture_name,year,county_to_district_count,district_merge_count,break_flag
CNUR-000236,成都市,2015,1,0,1
CNUR-000236,成都市,2016,1,0,1
CNUR-000236,成都市,2020,1,0,1
CNUR-000237,自贡市,2005,2,0,1
CNUR-000240,德阳市,2017,1,0,1
CNUR-000241,绵阳市,2016,1,0,1
CNUR-000243,遂宁市,2003,0,0,
CNUR-000247,眉山市,2014,1,0,1
CNUR-000248,宜宾市,2011,1,0,1
CNUR-000248,宜宾市,2018,1,0,1
CNUR-000249,广安市,2013,0,0,
CNUR-000250,达州市,2013,1,0,1
CNUR-000251,雅安市,2012,1,0,1
CNUR-000252,巴中市,2013,0,0,
CNUR-000257,贵阳市,2012,0,1,
CNUR-000258,六盘水市,2020,1,0,1
CNUR-000259,遵义市,2016,1,0,1
CNUR-000260,安顺市,2014,1,0,1
CNUR-000266,昆明市,2011,1,0,1
CNUR-000266,昆明市,2016,1,0,1
CNUR-000267,曲靖市,2016,1,0,1
CNUR-000267,曲靖市,2018,1,0,1
CNUR-000268,玉溪市,2015,1,0,1
CNUR-000282,拉萨市,2015,1,0,1
CNUR-000282,拉萨市,2017,1,0,1
CNUR-000287,那曲市,2017,1,0,1
CNUR-000289,西安市,2002,1,0,1
CNUR-000289,西安市,2014,1,0,1
CNUR-000289,西安市,2016,1,0,1
CNUR-000290,铜川市,2002,1,0,1
CNUR-000291,宝鸡市,2003,1,0,1
CNUR-000291,宝鸡市,2008,0,0,
CNUR-000292,咸阳市,2008,0,0,
CNUR-000293,渭南市,2015,1,0,1
CNUR-000294,延安市,2016,1,0,1
CNUR-000295,汉中市,2017,1,0,1
CNUR-000296,榆林市,2015,1,0,1
CNUR-000313,西宁市,2019,1,0,1
CNUR-000314,海东市,2015,1,0,1
CNUR-000322,石嘴山市,2002,1,0,1
CNUR-000322,石嘴山市,2003,1,0,1
CNUR-000323,吴忠市,2009,0,0,
CNUR-000326,乌鲁木齐市,2001,1,0,1
CNUR-000326,乌鲁木齐市,2002,1,0,1
