entity_id,name_zh,start_year,end_year,legal_status,verification_status,derivation_basis
CNUR-000107,滁州市,1992,2026,active,reviewed,reviewed_event_chain
CNUR-000108,阜阳地区,1987,1995,active,reviewed,reviewed_event_chain
CNUR-000108,阜阳市,1996,2026,active,reviewed,reviewed_event_chain
CNUR-000109,宿县地区,1987,1997,active,reviewed,reviewed_event_chain
CNUR-000109,宿州市,1998,2026,active,reviewed,reviewed_event_chain
CNUR-000110,巢湖地区,1987,1998,active,reviewed,reviewed_event_chain
CNUR-000110,巢湖市,1999,2010,active,reviewed,reviewed_event_chain
CNUR-000110,,2011,2024,abolished,reviewed,existing_2000_2024_roster
CNUR-000110,巢湖市,2025,2026,abolished,reviewed,reviewed_event_chain
CNUR-000111,六安地区,1987,1998,active,reviewed,reviewed_event_chain
CNUR-000111,六安市,1999,2026,active,reviewed,reviewed_event_chain
CNUR-000112,亳州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000113,,1987,1987,not_established,inferred,event_chain_inference
CNUR-000113,池州地区,1988,1999,active,reviewed,reviewed_event_chain
CNUR-000113,池州市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000114,宣城地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000114,宣城市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000115,福州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000116,厦门市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000117,莆田市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000118,三明市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000119,泉州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000120,漳州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000121,建阳地区,1987,1987,active,reviewed,reviewed_event_chain
CNUR-000121,南平地区,1988,1993,active,reviewed,reviewed_event_chain
CNUR-000121,南平市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000122,龙岩地区,1987,1995,active,reviewed,reviewed_event_chain
CNUR-000122,龙岩市,1996,2026,active,reviewed,reviewed_event_chain
CNUR-000123,宁德地区,1987,1998,active,reviewed,reviewed_event_chain
CNUR-000123,宁德市,1999,2026,active,reviewed,reviewed_event_chain
CNUR-000124,南昌市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000125,景德镇市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000126,萍乡市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000127,九江市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000128,新余市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000129,鹰潭市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000130,赣州地区,1987,1997,active,reviewed,reviewed_event_chain
CNUR-000130,赣州市,1998,2026,active,reviewed,reviewed_event_chain
CNUR-000131,吉安地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000131,吉安市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000132,宜春地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000132,宜春市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000133,抚州地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000133,抚州市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000134,上饶地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000134,上饶市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000135,济南市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000136,青岛市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000137,淄博市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000138,枣庄市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000139,东营市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000140,烟台市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000141,潍坊市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000142,济宁市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000143,泰安市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000144,威海市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000145,日照市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000146,莱芜市,1987,2018,active,reviewed,reviewed_event_chain
CNUR-000146,,2019,2026,abolished,reviewed,existing_2000_2024_roster
CNUR-000147,临沂地区,1987,1993,active,reviewed,reviewed_event_chain
CNUR-000147,临沂市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000148,德州地区,1987,1993,active,reviewed,reviewed_event_chain
CNUR-000148,德州市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000149,聊城地区,1987,1996,active,reviewed,reviewed_event_chain
CNUR-000149,聊城市,1997,2026,active,reviewed,reviewed_event_chain
CNUR-000150,惠民地区,1987,1991,active,reviewed,reviewed_event_chain
CNUR-000150,滨州地区,1992,1999,active,reviewed,reviewed_event_chain
CNUR-000150,滨州市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000151,菏泽地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000151,菏泽市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000152,郑州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000153,开封市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000154,洛阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000155,平顶山市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000156,安阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000157,鹤壁市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000158,新乡市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000159,焦作市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000160,濮阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000161,许昌市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000162,漯河市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000163,三门峡市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000164,南阳地区,1987,1993,active,reviewed,reviewed_event_chain
CNUR-000164,南阳市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000165,商丘地区,1987,1996,active,reviewed,reviewed_event_chain
CNUR-000165,商丘市,1997,2026,active,reviewed,reviewed_event_chain
CNUR-000166,信阳地区,1987,1997,active,reviewed,reviewed_event_chain
CNUR-000166,信阳市,1998,2026,active,reviewed,reviewed_event_chain
CNUR-000167,周口地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000167,周口市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000168,驻马店地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000168,驻马店市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000169,武汉市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000170,黄石市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000171,十堰市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000172,宜昌市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000173,襄樊市,1987,2009,active,reviewed,reviewed_event_chain
CNUR-000173,襄阳市,2010,2026,active,reviewed,existing_2000_2024_roster
CNUR-000174,鄂州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000175,荆门市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000176,,1987,1992,not_established,inferred,event_chain_inference
CNUR-000176,孝感市,1993,2026,active,reviewed,reviewed_event_chain
CNUR-000177,荆州地区,1987,1993,active,reviewed,reviewed_event_chain
CNUR-000177,荆沙市,1994,1995,active,reviewed,reviewed_event_chain
CNUR-000177,荆州市,1996,2026,active,reviewed,reviewed_event_chain
CNUR-000178,黄冈地区,1987,1994,active,reviewed,reviewed_event_chain
CNUR-000178,黄冈市,1995,2026,active,reviewed,reviewed_event_chain
CNUR-000179,咸宁地区,1987,1997,active,reviewed,reviewed_event_chain
CNUR-000179,咸宁市,1998,2026,active,reviewed,reviewed_event_chain
CNUR-000180,随州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000181,鄂西土家族苗族自治州,1987,1992,active,reviewed,reviewed_event_chain
CNUR-000181,恩施土家族苗族自治州,1993,2026,active,reviewed,reviewed_event_chain
CNUR-000182,长沙市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000183,株洲市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000184,湘潭市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000185,衡阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000186,邵阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000187,岳阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000188,常德地区,1987,1987,active,reviewed,reviewed_event_chain
CNUR-000188,常德市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000189,大庸市,1987,1993,active,reviewed,reviewed_event_chain
CNUR-000189,张家界市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000190,益阳地区,1987,1993,active,reviewed,reviewed_event_chain
CNUR-000190,益阳市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000191,,1987,1993,not_established,inferred,event_chain_inference
CNUR-000191,郴州市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000192,零陵地区,1987,1994,active,reviewed,reviewed_event_chain
CNUR-000192,永州市,1995,2026,active,reviewed,reviewed_event_chain
CNUR-000193,怀化地区,1987,1996,active,reviewed,reviewed_event_chain
CNUR-000193,怀化市,1997,2026,active,reviewed,reviewed_event_chain
CNUR-000194,娄底地区,1987,1998,active,reviewed,reviewed_event_chain
CNUR-000194,娄底市,1999,2026,active,reviewed,reviewed_event_chain
CNUR-000195,湘西土家族苗族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000196,广州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000197,韶关市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000198,深圳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000199,珠海市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000200,汕头市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000201,佛山市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000202,江门市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000203,湛江市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000204,茂名市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000205,肇庆地区,1987,1987,active,reviewed,reviewed_event_chain
CNUR-000205,肇庆市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000206,,1987,1987,not_established,inferred,event_chain_inference
CNUR-000206,惠州市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000207,梅县地区,1987,1987,active,reviewed,reviewed_event_chain
