entity_id,name_zh,start_year,end_year,legal_status,verification_status,source_id
CNUR-000202,江门市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000203,湛江市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000204,茂名市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000205,肇庆市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000206,惠州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000207,梅州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000208,汕尾市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000209,河源市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000210,阳江市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000211,清远市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000212,东莞市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000213,中山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000214,潮州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000215,揭阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000216,云浮市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000217,南宁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000218,柳州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000219,桂林市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000220,梧州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000221,北海市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000222,防城港市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000223,钦州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000224,贵港市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000225,玉林市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000226,百色地区,2000,2001,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000226,百色市,2002,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000227,贺州地区,2000,2001,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000227,贺州市,2002,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000228,河池地区,2000,2001,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000228,河池市,2002,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000229,柳州地区,2000,2001,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000229,来宾市,2002,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000230,南宁地区,2000,2001,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000230,崇左市,2002,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000231,海口市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000232,三亚市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000233,,2000,2011,not_established,wikipedia_verified,SRC-WIKI-2012
CNUR-000233,三沙市,2012,2024,active,wikipedia_verified,SRC-WIKI-2012
CNUR-000234,,2000,2014,not_prefecture_level,wikipedia_verified,SRC-WIKI-2015
CNUR-000234,儋州市,2015,2024,active,wikipedia_verified,SRC-WIKI-2015
CNUR-000235,重庆市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000236,成都市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000237,自贡市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000238,攀枝花市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000239,泸州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000240,德阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000241,绵阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000242,广元市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000243,遂宁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000244,内江市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000245,乐山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000246,南充市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000247,眉山市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000248,宜宾市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000249,广安市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000250,达州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000251,雅安市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000252,巴中市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000253,资阳市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000254,阿坝藏族羌族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000255,甘孜藏族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000256,凉山彝族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000257,贵阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000258,六盘水市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000259,遵义市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000260,安顺市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000261,毕节地区,2000,2010,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000261,毕节市,2011,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000262,铜仁地区,2000,2010,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000262,铜仁市,2011,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000263,黔西南布依族苗族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000264,黔东南苗族侗族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000265,黔南布依族苗族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000266,昆明市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000267,曲靖市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000268,玉溪市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000269,保山市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
