entity_id,legacy_entity_id,canonical_name_zh,province_name_zh,province_short_zh,entity_level,id_namespace,verification_status
CNUR-000123,E350900,宁德市,福建省,福建,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000124,E360100,南昌市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000125,E360200,景德镇市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000126,E360300,萍乡市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000127,E360400,九江市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000128,E360500,新余市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000129,E360600,鹰潭市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000130,E360700,赣州市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000131,E360800,吉安市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000132,E360900,宜春市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000133,E361000,抚州市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000134,E361100,上饶市,江西省,江西,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000135,E370100,济南市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000136,E370200,青岛市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000137,E370300,淄博市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000138,E370400,枣庄市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000139,E370500,东营市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000140,E370600,烟台市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000141,E370700,潍坊市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000142,E370800,济宁市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000143,E370900,泰安市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000144,E371000,威海市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000145,E371100,日照市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000146,E371200,莱芜市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_verified
CNUR-000147,E371300,临沂市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000148,E371400,德州市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000149,E371500,聊城市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000150,E371600,滨州市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000151,E371700,菏泽市,山东省,山东,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000152,E410100,郑州市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000153,E410200,开封市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000154,E410300,洛阳市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000155,E410400,平顶山市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000156,E410500,安阳市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000157,E410600,鹤壁市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000158,E410700,新乡市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000159,E410800,焦作市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000160,E410900,濮阳市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000161,E411000,许昌市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000162,E411100,漯河市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000163,E411200,三门峡市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000164,E411300,南阳市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000165,E411400,商丘市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000166,E411500,信阳市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000167,E411600,周口市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000168,E411700,驻马店市,河南省,河南,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000169,E420100,武汉市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000170,E420200,黄石市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000171,E420300,十堰市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000172,E420500,宜昌市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000173,E420600,襄阳市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000174,E420700,鄂州市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000175,E420800,荆门市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000176,E420900,孝感市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000177,E421000,荆州市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000178,E421100,黄冈市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000179,E421200,咸宁市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000180,E421300,随州市,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000181,E422800,恩施土家族苗族自治州,湖北省,湖北,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000182,E430100,长沙市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000183,E430200,株洲市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000184,E430300,湘潭市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000185,E430400,衡阳市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000186,E430500,邵阳市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000187,E430600,岳阳市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000188,E430700,常德市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
